startup_id,founder_id,session,societe,fondateur
C0173,F0313,08/2019,NACHD-IT,Nourhane Amara
C0174,F0314,08/2019,Evey Technologies,Noomane Lahimer
C0174,F0315,08/2019,Evey Technologies,Maher Hanafi
C0175,F0316,08/2019,SCIENCIA,Latifa El Ghezal
C0175,F0317,08/2019,SCIENCIA,Mohamed Jaidane
C0176,F0318,08/2019,Zatex,Mohamed Mekki Maalej
C0177,F0319,08/2019,Eat & Fit,Skander Ben Sassi
C0178,F0320,08/2019,WanToTrip,Chahrazed Remadi
C0178,F0321,08/2019,WanToTrip,Makrem Hermassi
C0179,F0322,08/2019,X-P-R,Mohamed Aziz CHAHED
C0179,F0323,08/2019,X-P-R,Mohamed Itheb Ben Abbes
C0179,F0324,08/2019,X-P-R,Oussama Ouda
C0179,F0325,08/2019,X-P-R,Mohamed Chebbi
C0180,F0326,08/2019,Plateforme de Formation E-learning,Nasreddine Cherih
C0180,F0327,08/2019,Plateforme de Formation E-learning,Marouane El Behi
C0181,F0328,08/2019,Oleomar Start-up Projet,Sami Guetari
C0181,F0329,08/2019,Oleomar Start-up Projet,Nadia Bouslimi Guetari
C0182,F0330,08/2019,UTIK,Makrem Dhifalli
C0182,F0331,08/2019,UTIK,Aymen Gatri
C0182,F0332,08/2019,UTIK,Mounir Bezzarga
C0183,F0333,08/2019,Smart Brand Web,Wajdi El Fehem
C0184,F0334,08/2019,MAIZ FARM,Hassen Maiz
C0185,F0335,08/2019,MAGNITECHS,Khaled Ben Ali
C0185,F0336,08/2019,MAGNITECHS,Fatma Ghizaoui
C0185,F0337,08/2019,MAGNITECHS,Mohamed Ben Hadj Hmida
C0185,F0338,08/2019,MAGNITECHS,Wajih Gafsi
C0185,F0339,08/2019,MAGNITECHS,Mariem Gannouni
C0186,F0340,09/2019,iWassel,Yasmine Dahloul
C0186,F0341,09/2019,iWassel,Sarra Khemakhem
C0186,F0342,09/2019,iWassel,Firas Rhaiem
C0187,F0343,09/2019,Farm Trust,Anis Mezghani
C0187,F0344,09/2019,Farm Trust,Wassim Khiari
C0188,F0345,09/2019,TrustiT,Mohamed Amine Ouni
C0189,F0125,09/2019,fixiha.tn,Ahmed Ben Said
C0190,F0346,09/2019,Société DOM Services,Khaled Dhifallah Ennefii
C0191,F0347,09/2019,The Landlord,Mohamed Farouk Ben Achour
C0192,F0348,09/2019,BeNeutron,Zaroui Montasar Mannai Karim
C0193,F0342,09/2019,Epilert,Firas Rhaiem
C0193,F0349,09/2019,Epilert,Haroun Moula
C0193,F0350,09/2019,Epilert,Amine Riahi
C0194,F0351,09/2019,Black Dune Studio,Mohamed Ali Hammami Hamad
C0194,F0352,09/2019,Black Dune Studio,Mohamed Hamad Abden El Mra
C0194,F0353,09/2019,Black Dune Studio,Ahmed EL KADHI
C0194,F0354,09/2019,Black Dune Studio,Mohamed BOUABIDI
C0194,F0355,09/2019,Black Dune Studio,Ayoub KHAMESSI
C0195,F0356,09/2019,Idara Tn,Jelassi Mohamed Amine
C0195,F0357,09/2019,Idara Tn,Baklouti Bassem
C0195,F0358,09/2019,Idara Tn,Ben Salah Slim
C0195,F0359,09/2019,Idara Tn,Nouri Houssem Eddine
C0196,F0360,09/2019,Teskerti.tn,Karim Jelliti
C0197,F0361,09/2019,GETPAY,Slim MOalla
C0197,F0362,09/2019,GETPAY,Salma Moalla
C0197,F0363,09/2019,GETPAY,Fares Bouguecha
C0198,F0254,09/2019,Go Field,Walid Mzoughi
