decision_id;company_name;founder_name;session
S3_D0030;Doctor Sina;Laaroussi Ben Younes;06/2019
S3_D0031;Aevny;Nacir Bouazizi;06/2019
S3_D0031;Aevny;Ahmed Ben Marzoug;06/2019
S3_D0032;IYADATI;Cheker Jarray;06/2019
S4_D0001;TransIN / SmartIN;Wahid Mnasri;07/2019
S4_D0002;Catrim;Mohamed Amine Ghorbel;07/2019
S4_D0002;Catrim;Becem Ben Mustapha;07/2019
S4_D0003;eDonec;Nader Zouari;07/2019
S4_D0003;eDonec;Zakaria Hatira;07/2019
S4_D0004;Avempace;Haythem Boughzala;07/2019
S4_D0004;Avempace;Abdelhamid Kerkeni;07/2019
S4_D0005;NIWEES;Abdallah Najah;07/2019
S4_D0006;Arsela;Ines Hafi;07/2019
S4_D0006;Arsela;Achref Ben Ouannes;07/2019
S4_D0006;Arsela;Ahmed Ben Zineb;07/2019
S4_D0007;Coaching Foot;Ahmed Adala;07/2019
S4_D0007;Coaching Foot;Kheireddine Fradj;07/2019
S4_D0007;Coaching Foot;Hussein Jenayah;07/2019
S4_D0008;AROM R SARL;Ellyes Chakroun;07/2019
S4_D0009;Rahba.tn;Mahmoud Aboulrob;07/2019
S4_D0010;DeVolution studio;Hidayet Ayadi;07/2019
S4_D0010;DeVolution studio;Seifeddine Ben Achour;07/2019
S4_D0010;DeVolution studio;Oualid Khayatti;07/2019
S4_D0010;DeVolution studio;Oussema Maatouk;07/2019
S4_D0011;ASEPTIKA LAB;Selima Zaouali;07/2019
S4_D0011;ASEPTIKA LAB;Aziz Zaouali;07/2019
S4_D0012;Faavly;Mohamed Amine Grichi;07/2019
S4_D0013;Universa Blockchain;Omar Bouattay;07/2019
S4_D0013;Universa Blockchain;Alexandre Borodich;07/2019
S4_D0014;Surfin - powered by Incept;Sofiene Chaieb;07/2019
S4_D0015;TuniBoat;Ahmed Ayadi;07/2019
S4_D0016;Winshot;Walid Mzoughi;07/2019
S4_D0016;Winshot;Hela Gabsi;07/2019
S4_D0016;Winshot;Alaa Mokrani;07/2019
S4_D0017;Technologia Academy;Mohamed Amine Hlali;07/2019
S4_D0018;Minima.ai;Houssem eddine Mrad;07/2019
S4_D0019;Réseau social medical : Saheelha;Marwan Abidi;07/2019
S4_D0020;Advanced functionalities for smart home/company WiFi;Lotfi Aguerbaoui;07/2019
S4_D0021;Zainpulse;Zaineb Rezgui;07/2019
S4_D0022;Sala7li;Mohamed Aymen Ben Elhaj Mabrouk;07/2019
S4_D0022;Sala7li;Ines Dhaouadi;07/2019
S4_D0023;Appinov;Haykel Mrad;07/2019
S4_D0023;Appinov;Yazid Rahoui;07/2019
S4_D0023;Appinov;Heni Sabbeh;07/2019
S4_D0024;AES;Amine Souilhi;07/2019
S4_D0025;STE VIF PRO;Mohamed Mouldi Ayed;07/2019
S4_D0025;STE VIF PRO;Sabri Lachaal;07/2019
S4_D0026;Kademia;Mohamed Ali Jomaa;07/2019
S4_D0027;Glamour By Riyem;Riyem Saidi;07/2019
S4_D0028;Greendyzer;Faycal Sessi;07/2019
S4_D0028;Greendyzer;Bassem Abdelhak;07/2019
S4_D0028;Greendyzer;Mohamed Nidham Sfar Gandoura;07/2019
S4_D0029;VR Crystalized;Ahmed Khalil Abdelkhalek;07/2019
S4_D0029;VR Crystalized;Boulbaba Zitouni;07/2019
S5_D0001;EVOCRAFT;Ali Belhaj Zahi;08/2019
S5_D0001;EVOCRAFT;Haythem Dabbabi;08/2019
S5_D0001;EVOCRAFT;Imen Hajji;08/2019
S5_D0002;Smart Farm;Bechir Ben Brika;08/2019
S5_D0002;Smart Farm;Hamza Khechine;08/2019
S5_D0003;HealUp;Issam Ezzeddine;08/2019
S5_D0003;HealUp;Imed Ezzeddine;08/2019
S5_D0003;HealUp;Badi Bouteraa;08/2019
S5_D0004;MOOVOBRAIN;Khaoula Ben Ahmed;08/2019
S5_D0004;MOOVOBRAIN;Syrine Ayari;08/2019
S5_D0004;MOOVOBRAIN;Ghofrane Ayari;08/2019
S5_D0004;MOOVOBRAIN;Souleima Ben Temim;08/2019
S5_D0005;Dataperformers;Mehdi Merai;08/2019
S5_D0006;Appro.tn (L6);Slim Amamou;08/2019
S5_D0006;Appro.tn (L6);Nabegh Bechir Hatira;08/2019
S5_D0006;Appro.tn (L6);Hassen Marzouki;08/2019
S5_D0007;FoundPad;Mehdi Nakouri;08/2019
S5_D0007;FoundPad;Hazem Mhiri;08/2019
S5_D0008;KAPTY SARL;Amine Allah Manai;08/2019
S5_D0008;KAPTY SARL;Khaled Dridi;08/2019
S5_D0009;OTO TRAVEL;Elyes Elloumi;08/2019
S5_D0009;OTO TRAVEL;Ali ABid;08/2019
S5_D0010;IDEAL CONCEPTION;Mehdi Zaabar;08/2019
S5_D0011;iCompass;Ahmed Nouisser;08/2019
S5_D0011;iCompass;Mohamed Hatem Haddad;08/2019
S5_D0012;eDream Commerce;Kacem Ghozzi;08/2019
S5_D0012;eDream Commerce;Nebyl Ben Attia;08/2019
S5_D0013;Vsober;Syrine Boudriga;08/2019
S5_D0013;Vsober;Mohamed Ala eddine Ben Trad;08/2019
S5_D0014;Société institution des modes alternatifs de règlement des litiges;Kaouther Selmi;08/2019
S5_D0014;Société institution des modes alternatifs de règlement des litiges;Khalil Ben Salah;08/2019
S5_D0015;Historio;Youssef Boufaied;08/2019
S5_D0015;Historio;Mustapha Gharbi;08/2019
S5_D0015;Historio;Marwen Sami;08/2019
S5_D0015;Historio;Skander Amor;08/2019
S5_D0016;NACHD-IT;Ahmed Ben Hssouna;08/2019
S5_D0016;NACHD-IT;Nourhane Amara;08/2019
S5_D0017;Evey Technologies;Noomane Lahimer;08/2019
S5_D0017;Evey Technologies;Maher Hanafi;08/2019
S5_D0018;SCIENCIA;Latifa El Ghezal;08/2019
S5_D0018;SCIENCIA;Mohamed Jaidane;08/2019
S5_D0019;Zatex;Mohamed Mekki Maalej;08/2019
S5_D0020;Eat & Fit;Skander Ben Sassi;08/2019
S5_D0021;WanToTrip;Chahrazed Remadi;08/2019
S5_D0021;WanToTrip;Makrem Hermassi;08/2019
